Sample_sequence_1791	synMinEv1
Sample_sequence_2177	synMinEv2
Sample_sequence_2935	synMinEv3
Sample_sequence_1469	synMinEv4
Sample_sequence_2803	synMinEv5
Sample_sequence_504	synMinEv6
Sample_sequence_309	synMinEv7
Sample_sequence_437	synMinEv8
Sample_sequence_3372	synMinEv9
Sample_sequence_3478	synMinEv10
Sample_sequence_3535	synMinEv11
Sample_sequence_3165	synMinEv12
Sample_sequence_1481	synMinEv13
Sample_sequence_3788	synMinEv14
Sample_sequence_810	synMinEv15
Sample_sequence_3085	synMinEv16
Sample_sequence_592	synMinEv17
Sample_sequence_2692	synMinEv18
Sample_sequence_340	synMinEv19
Sample_sequence_2452	synMinEv20
Sample_sequence_128	synMinEv21
Sample_sequence_2807	synMinEv22
Sample_sequence_885	synMinEv23
Sample_sequence_3890	synMinEv24
Sample_sequence_1583	synMinEv25
Sample_sequence_2534	synMinEv26
Sample_sequence_226	synMinEv27
Sample_sequence_1214	synMinEv28
Sample_sequence_814	synMinEv29
Sample_sequence_1973	synMinEv30
Sample_sequence_406	synMinEv31
Sample_sequence_1972	synMinEv32
Sample_sequence_2753	synMinEv33
Sample_sequence_2412	synMinEv34
Sample_sequence_1609	synMinEv35
Sample_sequence_431	synMinEv36
Sample_sequence_2255	synMinEv37
Sample_sequence_513	synMinEv38
Sample_sequence_3769	synMinEv39
Sample_sequence_789	synMinEv40
Sample_sequence_3321	synMinEv41
Sample_sequence_158	synMinEv42
Sample_sequence_1466	synMinEv43
Sample_sequence_2152	synMinEv44
Sample_sequence_2428	synMinEv45
Sample_sequence_1441	synMinEv46
Sample_sequence_346	synMinEv47
Sample_sequence_1034	synMinEv48