Name	hydrophobiciy scores of N-terminal helix/region	n-terminal alpha helix
Sample_sequence_2229	2.244997594997595	True
Sample_sequence_3823	2.0	False
Sample_sequence_2212	2.113241883116883	True
Sample_sequence_1154	2.0131175390266303	False
Sample_sequence_1481	1.987142857142857	False
Sample_sequence_2572	2.3468662067099566	True
Sample_sequence_461	2.4509512987012987	True
Sample_sequence_2785	2.0552357245928676	False
Sample_sequence_3761	2.5	True
Sample_sequence_1441	2.1825555555555556	True
Sample_sequence_431	2.2680597643097644	True
Sample_sequence_3165	2.436010101010101	True
Sample_sequence_2534	2.365579004329004	True
Sample_sequence_1656	2.4360962301587303	True
Sample_sequence_3627	2.4588607954545454	True
Sample_sequence_2952	2.3725060125060127	False
Sample_sequence_786	2.485909090909091	True
Sample_sequence_226	2.0746143366437484	False
Sample_sequence_93	2.025121315192744	False
Sample_sequence_22	1.7025649350649352	False
Sample_sequence_3548	2.0161865079365078	False
Sample_sequence_1890	2.327747252747253	False
Sample_sequence_33	1.93149671316338	True
Sample_sequence_3814	2.4721843434343436	True
Sample_sequence_3087	2.158194721944722	True
Sample_sequence_1030	2.223387778887779	False
Sample_sequence_2598	2.188398809523809	True
Sample_sequence_2412	2.086459387834388	False
Sample_sequence_3566	2.4545	True
Sample_sequence_77	2.5	True
Sample_sequence_3492	2.1247083075654505	False
Sample_sequence_1356	2.251217757936508	False
Sample_sequence_789	2.1182565235690234	False
Sample_sequence_70	1.654839766714767	True
Sample_sequence_131	1.9449648962148962	False
Sample_sequence_1634	1.7794388957603242	False
Sample_sequence_2428	2.5	True
Sample_sequence_2859	1.5053105058521725	True
Sample_sequence_2935	1.4795882292310865	False
Sample_sequence_825	1.5563366883116883	False
Sample_sequence_1909	1.9216877104377101	False
Sample_sequence_1799	1.4311695075757576	True
Sample_sequence_1418	2.4967676767676767	True
Sample_sequence_3915	2.1892529692529696	False
Sample_sequence_3890	1.5931349206349206	False
Sample_sequence_2753	2.467881944444444	True
Sample_sequence_2350	1.9136761664261666	False
Sample_sequence_433	1.700616110080396	False
Sample_sequence_1333	2.318587962962963	False
Sample_sequence_848	2.3357276592455167	True
Sample_sequence_1466	2.4774025974025977	True
Sample_sequence_3478	2.4549999999999996	True
Sample_sequence_1883	1.921846590909091	False
Sample_sequence_1972	1.2607142857142857	False
Sample_sequence_733	1.9732068130282414	True
Sample_sequence_3348	2.039768443362193	False
Sample_sequence_1236	1.637142857142857	False
Sample_sequence_1469	2.4894246031746032	True
Sample_sequence_2488	2.314569264069264	True
Sample_sequence_3710	1.532937257187257	False
Sample_sequence_2616	1.9257447916666666	True
Sample_sequence_3535	1.9400595238095237	False
Sample_sequence_2880	1.9966647426647426	False
Sample_sequence_2577	2.2843162393162393	False
Sample_sequence_3217	1.9103500666000661	False
Sample_sequence_158	2.2357855339105344	True
Sample_sequence_1791	1.8784458122895622	False
Sample_sequence_1036	2.3965113636363635	True
Sample_sequence_3345	2.2124030893349076	False
Sample_sequence_513	1.8413119161540217	False
Sample_sequence_2532	2.3805970695970697	False
Sample_sequence_2111	2.4428597402597405	False
Sample_sequence_1660	2.403378427128427	True
Sample_sequence_592	1.916332431457431	False
Sample_sequence_238	1.6682023809523807	False
Sample_sequence_1274	2.207689780457638	False
Sample_sequence_768	2.3700834879406307	False
Sample_sequence_3402	1.8615147352647354	False
Sample_sequence_3752	1.5437200126262627	False
Sample_sequence_1290	1.573383580705009	False
Sample_sequence_2718	1.9628758741258745	False
Sample_sequence_309	1.4882715007215006	False
Sample_sequence_3500	2.4301352813852812	True
Sample_sequence_2267	2.5	True
Sample_sequence_2390	2.2517787114845937	False
Sample_sequence_340	2.253569624819625	True
Sample_sequence_1450	2.4627904040404043	True
Sample_sequence_2798	2.076699263038549	False
Sample_sequence_3422	2.279261664261664	False
Sample_sequence_3085	1.5312792844410492	False
Sample_sequence_1757	2.404196510560147	False
Sample_sequence_2255	1.2743781265031264	False
Sample_sequence_3604	2.323489669421488	False
Sample_sequence_1214	2.140848536384251	False
Sample_sequence_2177	2.5	True
Sample_sequence_2079	2.398021978021978	False
Sample_sequence_1973	2.498939393939394	True
Sample_sequence_3914	1.8380060606060606	True
Sample_sequence_1805	1.818972431077694	True
Sample_sequence_3461	2.4814935064935066	True
Sample_sequence_814	2.318183785911059	True
Sample_sequence_3000	2.066372204184704	True
Sample_sequence_1772	2.5	False
Sample_sequence_722	2.2911154401154405	False
Sample_sequence_437	1.6129235325606295	False
Sample_sequence_3754	2.1591556186868686	False
Sample_sequence_1856	2.136889221889222	False
Sample_sequence_2692	1.8783482958840096	False
Sample_sequence_2562	2.2536691086691087	False
Sample_sequence_2751	2.166052836052836	False
Sample_sequence_3004	2.3045546120546123	False
Sample_sequence_2152	2.4724363636363638	True
Sample_sequence_1676	1.9815749158249154	False
Sample_sequence_2793	2.3881437389770728	True
Sample_sequence_2788	2.0496762265512265	False
Sample_sequence_1839	2.256499919833253	True
Sample_sequence_3269	2.242290120593692	False
Sample_sequence_2163	2.5	False
Sample_sequence_2272	1.2841446248196249	False
Sample_sequence_3788	1.3273160173160174	False
Sample_sequence_1062	2.099160561660562	False
Sample_sequence_2048	2.2077136752136757	False
Sample_sequence_2485	2.29322619047619	False
Sample_sequence_504	2.4645481601731603	True
Sample_sequence_1096	2.367420634920635	False
Sample_sequence_3441	2.5	True
Sample_sequence_2452	1.4528809523809523	False
Sample_sequence_346	2.3333821733821734	False
Sample_sequence_406	2.474464285714286	True
Sample_sequence_3321	2.44	False
Sample_sequence_1034	1.7602523923444977	False
Sample_sequence_1609	1.7864768217893217	True
Sample_sequence_482	2.405844155844156	False
Sample_sequence_1444	1.8688832199546486	False
Sample_sequence_3531	2.476473063973064	True
Sample_sequence_837	2.2183410894660893	True
Sample_sequence_3769	2.3071127946127947	True
Sample_sequence_1440	2.3360866910866913	False
Sample_sequence_2872	2.0858786075036075	True
Sample_sequence_1004	2.201335200746965	False
Sample_sequence_810	2.053297841047841	True
Sample_sequence_3558	2.493333333333333	True
Sample_sequence_3005	1.7999810606060607	True
Sample_sequence_1583	2.485272727272727	True
Sample_sequence_2374	2.5	False
Sample_sequence_1717	2.286144688644689	False
Sample_sequence_1728	2.343973569023569	False
Sample_sequence_3372	2.0220789059425424	False
Sample_sequence_1553	2.4975510204081632	False
Sample_sequence_1672	1.936686708353375	False
Sample_sequence_2633	1.7798606301106303	False
Sample_sequence_2803	2.477090909090909	True
Sample_sequence_1439	1.6628500180375183	True
Sample_sequence_1894	2.341043956043956	False
Sample_sequence_3118	2.4146642246642247	False
Sample_sequence_885	1.6948022518417256	False
Sample_sequence_2515	1.7250413223140497	True
Sample_sequence_2157	2.155011655011655	False
Sample_sequence_2881	2.4783673469387755	False
Sample_sequence_1092	2.264033189033189	True
Sample_sequence_3869	1.9730819559228647	False
Sample_sequence_1723	2.1215934343434344	True
Sample_sequence_2002	2.338453282828283	True
Sample_sequence_319	2.0139689330277566	False
Sample_sequence_1680	2.1035862193362194	True
Sample_sequence_128	2.239366227207136	False
Sample_sequence_2807	1.6222132034632033	False